"filename", "language", "Python", "Markdown", "Shell Script", "pip requirements", "YAML", "JSON", "comment", "blank", "total"
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/auth/service.py", "Python", 42, 0, 0, 0, 0, 0, 12, 7, 61
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/base.py", "Python", 49, 0, 0, 0, 0, 0, 10, 12, 71
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/canbus/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/canbus/reader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/canbus/writer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/config/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/config/service.py", "Python", 66, 0, 0, 0, 0, 0, 49, 10, 125
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/database/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/database/change.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/database/reader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/database/writer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/i2c/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/i2c/listener.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/i2c/producer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/kafka/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/kafka/consumer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/kafka/producer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/metrics/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/metrics/exporter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/mtls/README.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 10, 35
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/mtls/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/mtls/exceptions.py", "Python", 2, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/mtls/service.py", "Python", 27, 0, 0, 0, 0, 0, 24, 7, 58
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/secrets/README.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 31, 94
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/secrets/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/secrets/manager.py", "Python", 153, 0, 0, 0, 0, 0, 37, 20, 210
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/tests/integration/logger.py", "Python", 85, 0, 0, 0, 0, 0, 20, 20, 125
